year_category,grade_level,subject,courses,score_rows,students_course_sum,tests_course_sum
2023年度,中1,数学,3,2400,120,60
2020年度,高2,英語,2,2346,547,32
2023年度,中2,数学,3,2271,120,57
2023年度,高1,英語,2,2264,570,8
2023年度,高1,数学,7,2249,283,56
2024年度,高1,数学,7,2240,280,56
2024年度,高2,数学,10,2232,279,80
2024年度,高2,英語,2,2232,558,8
2021年度,高1,数学,1,2193,279,8
2023年度,高2,英語,2,2159,544,8
2020年度,高1,数学,1,2141,285,16
2024年度,中1,数学,3,2038,120,51
2024年度,高1,英語,2,1954,560,7
2024年度,中2,数学,3,1917,120,48
2023年度,高2,数学,40,1864,934,80
2024年度,中3,数学,3,1679,120,42
2024年度,高3,英語,2,1614,538,6
2022年度,高1,英語,2,1361,547,5
2022年度,高2,英語,2,1335,542,5
2023年度,中3,数学,3,1295,119,33
2020年度,中1,数学,3,1231,121,31
2021年度,高1,英語,1,1114,280,4
2021年度,高2,英語,1,1105,279,4
2022年度,高1,数学,1,1094,279,4
2022年度,高2,数学,1,1079,276,4
2020年度,高1,英語,2,1069,563,7
2020年度,中3,英語,3,1047,120,27
2020年度,中3,数学,3,1045,120,27
2020年度,中2,数学,3,1018,119,133
2020年度,中2,英語,3,1015,119,27
2020年度,中1,英語,3,908,120,23
2022年度,中1,数学,3,840,120,21
2022年度,中1,英語,3,835,120,21
2022年度,中2,数学,3,820,118,21
2022年度,中2,英語,3,807,118,21
2022年度,中3,数学,3,806,118,21
2022年度,中3,英語,3,805,118,21
2023年度,中1,英語,3,719,120,18
2024年度,中3,英語,3,719,120,18
2024年度,中1,英語,3,718,120,18
2024年度,中2,英語,3,717,120,18
2021年度,中1,英語,3,716,120,18
2021年度,中1,数学,3,715,120,18
2023年度,中2,英語,3,714,120,18
2021年度,中2,数学,3,698,120,18
2021年度,中2,英語,3,698,120,18
2021年度,中3,数学,3,687,118,18
2021年度,中3,英語,3,684,118,18
2023年度,中3,英語,3,471,119,12
SK,(unclassified),(unclassified),1,269,206,4
2023年度,中1,国語,3,240,120,6
2024年度,中1,国語,3,239,120,6
2024年度,中3,国語,3,239,120,6
2019年度前期,中1,数学,6,238,120,12
2023年度,中2,国語,3,237,119,6
2024年度,中2,国語,3,237,119,6
2021年度,中2,(unclassified),1,236,120,2
2019年度前期,中2,数学,6,235,119,12
2019年度前期,中2,英語,6,235,119,12
2019年度前期,中3,数学,3,233,120,6
2019年度前期,中3,英語,3,233,120,6
2019年度前期,中1,英語,6,118,118,6
Course Templates,(unclassified),(unclassified),1,5,5,1
