course_id,score_course_name,moodle_course_name,score_rows,students,tests,min_date,max_date,moodle_category_path,year_category,grade_level,grade_source,school_level,subject,subject_source,class_group
221,2020年度EEC1[高1],2020年度EEC1[高1],279,279,1,,,2020年度 > 高1 > 英語,2020年度,高1,moodle_category,senior_high,英語,moodle_category,
222,2020年度数学[高1],2020年度数学[高1],2141,285,16,,,2020年度 > 高1 > 数学,2020年度,高1,moodle_category,senior_high,数学,moodle_category,
224,2020年度EEC2[高2],2020年度EEC2[高2],274,274,1,,,2020年度 > 高2 > 英語,2020年度,高2,moodle_category,senior_high,英語,moodle_category,
237,2020年度数学[中2]A組,2020年度数学[中2]A組,346,40,45,2020-06-12,2020-09-14,2020年度 > 中2 > 数学,2020年度,中2,moodle_category,junior_high,数学,moodle_category,A組
238,2020年度数学[中2]B組,2020年度数学[中2]B組,339,40,43,2020-06-12,2020-09-14,2020年度 > 中2 > 数学,2020年度,中2,moodle_category,junior_high,数学,moodle_category,B組
239,2020年度数学[中2]C組,2020年度数学[中2]C組,333,39,45,2020-06-12,2020-09-14,2020年度 > 中2 > 数学,2020年度,中2,moodle_category,junior_high,数学,moodle_category,C組
240,2020年度英語[中2]A組,2020年度英語[中2]A組,346,40,9,2020-06-12,2020-09-14,2020年度 > 中2 > 英語,2020年度,中2,moodle_category,junior_high,英語,moodle_category,A組
241,2020年度英語[中2]B組,2020年度英語[中2]B組,336,40,9,2020-06-12,2020-09-14,2020年度 > 中2 > 英語,2020年度,中2,moodle_category,junior_high,英語,moodle_category,B組
242,2020年度英語[中2]C組,2020年度英語[中2]C組,333,39,9,2020-06-12,2020-09-14,2020年度 > 中2 > 英語,2020年度,中2,moodle_category,junior_high,英語,moodle_category,C組
245,2020年度数学[中3]A組,2020年度数学[中3]A組,350,40,9,2020-06-12,2020-09-14,2020年度 > 中3 > 数学,2020年度,中3,moodle_category,junior_high,数学,moodle_category,A組
246,2020年度数学[中3]B組,2020年度数学[中3]B組,352,40,9,2020-06-12,2020-09-14,2020年度 > 中3 > 数学,2020年度,中3,moodle_category,junior_high,数学,moodle_category,B組
247,2020年度数学[中3]C組,2020年度数学[中3]C組,343,40,9,2020-06-12,2020-09-14,2020年度 > 中3 > 数学,2020年度,中3,moodle_category,junior_high,数学,moodle_category,C組
248,2020年度英語[中3]A組,2020年度英語[中3]A組,351,40,9,2020-06-12,2020-09-14,2020年度 > 中3 > 英語,2020年度,中3,moodle_category,junior_high,英語,moodle_category,A組
249,2020年度英語[中3]B組,2020年度英語[中3]B組,353,40,9,2020-06-12,2020-09-14,2020年度 > 中3 > 英語,2020年度,中3,moodle_category,junior_high,英語,moodle_category,B組
25,2019年度前期数学[中1]A組前半,2019年度前期数学[中1]A組前半,40,20,2,2019-04-10,2019-09-11,2019年度前期 > 中1 > 数学,2019年度前期,中1,moodle_category,junior_high,数学,moodle_category,A組
250,2020年度英語[中3]C組,2020年度英語[中3]C組,343,40,9,2020-06-12,2020-09-14,2020年度 > 中3 > 英語,2020年度,中3,moodle_category,junior_high,英語,moodle_category,C組
254,2020年度数学[中1]A組,2020年度数学[中1]A組,443,41,11,2020-06-12,2020-09-14,2020年度 > 中1 > 数学,2020年度,中1,moodle_category,junior_high,数学,moodle_category,A組
255,2020年度数学[中1]B組,2020年度数学[中1]B組,394,40,10,2020-06-12,2020-09-14,2020年度 > 中1 > 数学,2020年度,中1,moodle_category,junior_high,数学,moodle_category,B組
256,2020年度数学[中1]C組,2020年度数学[中1]C組,394,40,10,2020-06-12,2020-09-14,2020年度 > 中1 > 数学,2020年度,中1,moodle_category,junior_high,数学,moodle_category,C組
257,2020年度英語[中1]A組,2020年度英語[中1]A組,319,40,8,2020-09-14,2020-09-14,2020年度 > 中1 > 英語,2020年度,中1,moodle_category,junior_high,英語,moodle_category,A組
258,2020年度英語[中1]B組,2020年度英語[中1]B組,315,40,8,2020-09-14,2020-09-14,2020年度 > 中1 > 英語,2020年度,中1,moodle_category,junior_high,英語,moodle_category,B組
259,2020年度英語[中1]C組,2020年度英語[中1]C組,274,40,7,2020-09-14,2020-09-14,2020年度 > 中1 > 英語,2020年度,中1,moodle_category,junior_high,英語,moodle_category,C組
26,2019年度前期数学[中1]A組後半,2019年度前期数学[中1]A組後半,39,20,2,2019-04-10,2019-09-11,2019年度前期 > 中1 > 数学,2019年度前期,中1,moodle_category,junior_high,数学,moodle_category,A組
27,2019年度前期数学[中1]B組前半,2019年度前期数学[中1]B組前半,40,20,2,2019-04-10,2019-09-11,2019年度前期 > 中1 > 数学,2019年度前期,中1,moodle_category,junior_high,数学,moodle_category,B組
28,2019年度前期数学[中1]B組後半,2019年度前期数学[中1]B組後半,40,20,2,2019-04-10,2019-09-11,2019年度前期 > 中1 > 数学,2019年度前期,中1,moodle_category,junior_high,数学,moodle_category,B組
280,2020年度 教員への研修会,2020年度 教員への研修会,269,206,4,,,SK,SK,,unclassified,,,unclassified,
29,2019年度前期数学[中1]C組前半,2019年度前期数学[中1]C組前半,39,20,2,2019-04-10,2019-09-11,2019年度前期 > 中1 > 数学,2019年度前期,中1,moodle_category,junior_high,数学,moodle_category,C組
31,2019年度前期数学[中2]A組前半,2019年度前期数学[中2]A組前半,40,20,2,2019-04-10,2019-09-11,2019年度前期 > 中2 > 数学,2019年度前期,中2,moodle_category,junior_high,数学,moodle_category,A組
310,2020年度IEC1[高1],2020年度IEC1[高1],790,284,6,,,2020年度 > 高1 > 英語,2020年度,高1,moodle_category,senior_high,英語,moodle_category,
311,2020年度IEC2[高2],2020年度IEC2[高2],2072,273,31,,,2020年度 > 高2 > 英語,2020年度,高2,moodle_category,senior_high,英語,moodle_category,
316,2021年度IEC1[高1],2021年度IEC1[高1],1114,280,4,,,2021年度 > 高校,2021年度,高1,course_name,senior_high,英語,course_name_program_code,
32,2019年度前期数学[中2]A組後半,2019年度前期数学[中2]A組後半,38,20,2,2019-04-10,2019-09-11,2019年度前期 > 中2 > 数学,2019年度前期,中2,moodle_category,junior_high,数学,moodle_category,A組
321,2021年度数学[中1]A組,2021年度数学[中1]A組,240,40,6,2021-04-09,2021-10-18,2021年度 > 中1 > 数学,2021年度,中1,moodle_category,junior_high,数学,moodle_category,A組
322,2021年度数学[中1]B組,2021年度数学[中1]B組,240,40,6,2021-04-09,2021-10-18,2021年度 > 中1 > 数学,2021年度,中1,moodle_category,junior_high,数学,moodle_category,B組
323,2021年度数学[中1]C組,2021年度数学[中1]C組,235,40,6,2021-04-09,2021-10-18,2021年度 > 中1 > 数学,2021年度,中1,moodle_category,junior_high,数学,moodle_category,C組
324,2021年度英語[中1]A組,2021年度英語[中1]A組,240,40,6,2021-04-09,2021-10-18,2021年度 > 中1 > 英語,2021年度,中1,moodle_category,junior_high,英語,moodle_category,A組
325,2021年度英語[中1]B組,2021年度英語[中1]B組,239,40,6,2021-04-09,2021-10-18,2021年度 > 中1 > 英語,2021年度,中1,moodle_category,junior_high,英語,moodle_category,B組
326,2021年度英語[中1]C組,2021年度英語[中1]C組,237,40,6,2021-04-09,2021-10-18,2021年度 > 中1 > 英語,2021年度,中1,moodle_category,junior_high,英語,moodle_category,C組
33,2019年度前期数学[中2]B組前半,2019年度前期数学[中2]B組前半,40,20,2,2019-04-10,2019-09-11,2019年度前期 > 中2 > 数学,2019年度前期,中2,moodle_category,junior_high,数学,moodle_category,B組
336,2021年度数学[中2]A組,2021年度数学[中2]A組,232,40,6,2021-04-09,2021-10-18,2021年度 > 中2 > 数学,2021年度,中2,moodle_category,junior_high,数学,moodle_category,A組
337,2021年度数学[中2]B組,2021年度数学[中2]B組,234,40,6,2021-04-09,2021-10-18,2021年度 > 中2 > 数学,2021年度,中2,moodle_category,junior_high,数学,moodle_category,B組
338,2021年度数学[中2]C組,2021年度数学[中2]C組,232,40,6,2021-04-09,2021-10-18,2021年度 > 中2 > 数学,2021年度,中2,moodle_category,junior_high,数学,moodle_category,C組
