operation_name	rows	uniq_record_ids	uniq_users	uniq_contents
	24937087	14395154	4774	1
ADD_HW_MEMO	21293891	12986566	1927	3947
NEXT	15362312	8758095	3091	7164
DELETE MARKER	13331280	6885593	1977	2235
PREV	5580090	3165595	2980	6116
TIMER_STOP	4233207	2118938	1067	1573
CHANGE MEMO	3026663	1748638	1821	2513
OPEN	2143995	1322841	3165	11775
DELETE BOOKMARK	2071062	1117644	1639	2800
ADD MARKER	1651024	881509	2352	3235
CLOSE	1584133	951064	3033	11526
PAGE_JUMP	1550919	942008	2654	5861
ADD BOOKMARK	884363	473157	1795	3272
UNDO_HW_MEMO	761394	438766	1612	2683
OPEN_RECOMMENDATION	527677	329457	2422	1523
CLOSE_RECOMMENDATION	489964	306092	2363	1354
QUIZ_ANSWER_CORRECT	459687	276477	2256	736
TIMER_PAUSE	424315	267924	1729	1071
BOOKMARK_JUMP	308730	172427	1050	1440
ADD MEMO	297524	188123	2132	3915
QUIZ_ANSWER	175565	107104	2129	766
AUDIO_START	142398	71738	589	161
DELETE_MEMO	69568	40129	1322	1949
CLEAR_HW_MEMO	66379	39402	1568	2601
ADD_SVG_PATH	62468	59996	256	535
