contents_id	contents_name	raw_events	uniq_events	uniq_users	first_ts	last_ts
ccdf3864e2fa9089f9eca4fc7a48ea0a	改・未来へひろがる数学1	13151898	6933917	509	2021-05-10 00:13:53.000	2026-01-14 07:28:00.000
6a37887d2b55c87ad45dabf3ceb968b0	☆0515宿題_04正の数負の数(指数)	3852624	1971006	123	2024-05-14 21:34:14.000	2025-06-22 05:00:31.000
0ebf197205c00fc6e0aac7261a8c1bdc	未来へひろがる数学1	674466	337295	146	2020-04-09 05:32:40.000	2024-06-26 00:08:06.000
e449b9317dad920c0dd5ad0a2a2d5e49	サクシード数Ⅰ_第３章 ２次関数	422372	211186	41	2019-10-17 05:31:05.000	2020-04-22 22:19:48.000
3332880692313818482a5a0286608ab6	サクシード数 A 第1章 場合の数と確率 (問＆解答)	201549	187265	533	2022-04-12 04:34:14.000	2025-10-07 01:59:02.000
ea9b6cd30546ce1e20bd2f6df7e82e64	Level 1_1	354442	177281	232	2024-07-17 11:00:13.000	2026-01-08 00:12:27.000
b05b57f6add810d3b7490866d74c0053	サクシード数 A 第3章 数学と人間の活動 (問＆解答)	209726	173581	481	2022-04-12 04:55:56.000	2025-10-06 14:14:49.000
57ed1337fe4fdf9c65ddaf8555a9a1bb	0308演習問題(いろいろな問題)	277345	169937	36	2024-03-07 07:02:09.000	2025-02-02 12:13:01.000
e4a93f0332b2519177ed55741ea4e5e7	［STEP中1］第1章 正の数と負の数	297944	148974	131	2020-04-09 06:01:37.000	2024-04-29 12:58:11.000
100d5d9191f185eeb98d6e291756954a	新課程版サクシード数Ⅱ 第6章 微分法と積分法 (問＆解答)	275714	143660	388	2023-04-19 01:05:45.000	2026-01-22 23:11:02.000
9d702ffd99ad9c70ac37e506facc8c38	サクシード数Ⅰ 第3章 2次関数 (問＆解答)	155306	143426	384	2022-04-12 04:20:19.000	2025-09-17 06:49:22.000
c5a3c867a3dfb776552dcfc804d4937e	新課程版サクシード数Ⅱ 第3章 図形と方程式 (問＆解答)	179140	138210	375	2023-04-19 01:05:45.000	2026-02-13 04:54:14.000
d604dd857d8434bd10c0f2fb2c8eef03	R6_2年夏休みの演習課題	269604	136030	132	2024-07-08 23:40:29.000	2025-11-03 07:14:48.000
1c208ee88299e7d6d6eff86e6879384e	w04_0501「GW課題」	268484	134247	119	2021-04-30 08:10:25.000	2022-12-22 02:18:47.251
219c507b38ddfc07899fc1f01ff40c44	改・未来へひろがる数学2	169696	133128	480	2021-08-10 04:09:50.000	2026-01-22 02:03:44.000
f2b41808a36363e7279128bf0b6104f1	0628_03方程式（割合）	263812	132115	118	2024-06-26 08:35:49.000	2025-04-11 05:31:15.000
