contents_id	contents_name	operation_name	rows	uniq_users
01ce84968c6969bdd5d51c5eeaa3946a	No.15（マル付けして提出すること）	OPEN	170	102
01ce84968c6969bdd5d51c5eeaa3946a	No.15（マル付けして提出すること）	NEXT	153	71
01ce84968c6969bdd5d51c5eeaa3946a	No.15（マル付けして提出すること）	PREV	96	52
01ce84968c6969bdd5d51c5eeaa3946a	No.15（マル付けして提出すること）	CLOSE	69	48
01ce84968c6969bdd5d51c5eeaa3946a	No.15（マル付けして提出すること）	PAGE_JUMP	5	4
01ce84968c6969bdd5d51c5eeaa3946a	No.15（マル付けして提出すること）	REGIST CONTENTS	2	1
1b113258af3968aaf3969ca67e744ff8	休業中Writing課題Vol3	OPEN_RECOMMENDATION	574	97
1b113258af3968aaf3969ca67e744ff8	休業中Writing課題Vol3	ADD MARKER	544	39
1b113258af3968aaf3969ca67e744ff8	休業中Writing課題Vol3	CLOSE_RECOMMENDATION	408	65
1b113258af3968aaf3969ca67e744ff8	休業中Writing課題Vol3	OPEN	372	114
1b113258af3968aaf3969ca67e744ff8	休業中Writing課題Vol3	CLICK_RECOMMENDATION	282	91
1b113258af3968aaf3969ca67e744ff8	休業中Writing課題Vol3	CLOSE	132	51
1b113258af3968aaf3969ca67e744ff8	休業中Writing課題Vol3	DELETE MARKER	76	10
1b113258af3968aaf3969ca67e744ff8	休業中Writing課題Vol3	TIMER_PAUSE	6	1
1b113258af3968aaf3969ca67e744ff8	休業中Writing課題Vol3	ADD_RECOMMENDATION	4	1
1b113258af3968aaf3969ca67e744ff8	休業中Writing課題Vol3	ADD BOOKMARK	2	1
1b113258af3968aaf3969ca67e744ff8	休業中Writing課題Vol3	PAGE_JUMP	2	1
1b113258af3968aaf3969ca67e744ff8	休業中Writing課題Vol3	ADD MEMO	2	1
a9cc6694dc40736d7a2ec018ea566113	021_前期期末数学再テストレポートA(演習)解答例	NEXT	144	67
a9cc6694dc40736d7a2ec018ea566113	021_前期期末数学再テストレポートA(演習)解答例	OPEN	140	77
a9cc6694dc40736d7a2ec018ea566113	021_前期期末数学再テストレポートA(演習)解答例	PREV	67	34
a9cc6694dc40736d7a2ec018ea566113	021_前期期末数学再テストレポートA(演習)解答例	CLOSE	45	37
a9cc6694dc40736d7a2ec018ea566113	021_前期期末数学再テストレポートA(演習)解答例	PAGE_JUMP	17	8
a9cc6694dc40736d7a2ec018ea566113	021_前期期末数学再テストレポートA(演習)解答例	REGIST CONTENTS	1	1
c3f4db3a634aa769c0f1161219272d03	04_前期数学解答例	OPEN	305	84
c3f4db3a634aa769c0f1161219272d03	04_前期数学解答例	NEXT	173	67
c3f4db3a634aa769c0f1161219272d03	04_前期数学解答例	PREV	93	41
c3f4db3a634aa769c0f1161219272d03	04_前期数学解答例	CLOSE	92	54
c3f4db3a634aa769c0f1161219272d03	04_前期数学解答例	PAGE_JUMP	30	10
c3f4db3a634aa769c0f1161219272d03	04_前期数学解答例	REGIST CONTENTS	1	1
f29a179746902e331572c483c45e5086	[サクシード数A] 第1章 場合の数と確率_text順答えありsample	NEXT	2973	54
f29a179746902e331572c483c45e5086	[サクシード数A] 第1章 場合の数と確率	OPEN_RECOMMENDATION	1267	47
f29a179746902e331572c483c45e5086	[サクシード数A] 第1章 場合の数と確率	PAGE_JUMP	1218	35
f29a179746902e331572c483c45e5086	[サクシード数A] 第1章 場合の数と確率	CLOSE_RECOMMENDATION	1177	39
f29a179746902e331572c483c45e5086	[サクシード数A] 第1章 場合の数と確率	TIMER_PAUSE	1177	39
f29a179746902e331572c483c45e5086	[サクシード数A] 第1章 場合の数と確率	PREV	1160	34
f29a179746902e331572c483c45e5086	[サクシード数A] 第1章 場合の数と確率	QUIZ_ANSWER_CORRECT	860	42
f29a179746902e331572c483c45e5086	[サクシード数A] 第1章 場合の数と確率_text順答えありsample	OPEN	477	91
f29a179746902e331572c483c45e5086	[サクシード数A] 第1章 場合の数と確率_text順答えありsample	CLOSE	356	76
f29a179746902e331572c483c45e5086	[サクシード数A] 第1章 場合の数と確率	QUIZ_ANSWER	231	25
f29a179746902e331572c483c45e5086	[サクシード数A] 第1章 場合の数と確率	ADD_HW_MEMO	202	1
f29a179746902e331572c483c45e5086	[サクシード数A] 第1章 場合の数と確率	SEARCH	21	3
f29a179746902e331572c483c45e5086	[サクシード数A] 第1章 場合の数と確率	ADD BOOKMARK	12	4
f29a179746902e331572c483c45e5086	[サクシード数A] 第1章 場合の数と確率	SEARCH_JUMP	12	2
f29a179746902e331572c483c45e5086	[サクシード数A] 第1章 場合の数と確率_text順答えありsample	DELETE BOOKMARK	10	3
f29a179746902e331572c483c45e5086	[サクシード数A] 第1章 場合の数と確率	ADD MEMO	4	1
f29a179746902e331572c483c45e5086	[サクシード数A] 第1章 場合の数と確率	REGIST CONTENTS	3	2
f29a179746902e331572c483c45e5086	[サクシード数A] 第1章 場合の数と確率	TIMER_STOP	2	1
f29a179746902e331572c483c45e5086	[サクシード数A] 第1章 場合の数と確率_text順答えありsample	ADD MARKER	2	1
