operation_name	rows	uniq_record_ids	uniq_users	uniq_contents
ADD_HW_MEMO	3262859	3262859	636	1500
NEXT	946447	946447	921	2416
	569579	569579	1750	1
OPEN	445852	445852	973	3452
PAGE_JUMP	438864	438864	807	1661
ZOOM_IN	412859	412859	721	2657
PREV	280614	280614	886	2180
CLOSE	222041	222041	935	3426
#attain-grade	170295	170295	1225	1
UNDO_HW_MEMO	160764	160764	552	1046
ERASE_HW_MEMO	104567	104567	591	1191
ANSWER_QUIZ	94469	94469	688	241
LOGIN	80668	80668	874	1
ZOOM_OUT	73655	73655	661	2069
OPEN_QUIZ	61614	61614	738	941
CLOSE_QUIZ	60364	60364	732	924
ADD_MARKER	43583	43583	598	516
CHANGE_SVG_PATH	22264	22264	329	470
ADD_QUIZ	19339	19339	12	584
DELETE_MARKER	14558	14558	489	352
EDIT_QUIZ	13216	13216	11	475
ZOOM_FULL	9409	9409	491	1186
ADD_SVG_PATH	9105	9105	367	589
REGISTER_CONTENTS	8430	8430	29	3624
#get-collect-test	8005	8005	351	1
