contents_id	actor_account_name	user_events	n_prev	n_page_jump	n_memo	n_open_rec
1f1baa5b8edac74eb4eaa329f14a0361	2579	28	4	0	0	0
1f1baa5b8edac74eb4eaa329f14a0361	2545	27	2	0	0	0
1f1baa5b8edac74eb4eaa329f14a0361	2507	26	0	0	0	0
1f1baa5b8edac74eb4eaa329f14a0361	2551	25	2	0	0	0
1f1baa5b8edac74eb4eaa329f14a0361	2554	22	0	0	0	0
1f1baa5b8edac74eb4eaa329f14a0361	2497	22	0	0	0	0
1f1baa5b8edac74eb4eaa329f14a0361	2592	19	3	0	0	0
1f1baa5b8edac74eb4eaa329f14a0361	2519	19	2	0	0	0
1f1baa5b8edac74eb4eaa329f14a0361	2577	18	0	0	0	0
1f1baa5b8edac74eb4eaa329f14a0361	2486	17	3	0	0	0
1f1baa5b8edac74eb4eaa329f14a0361	2544	17	1	0	0	0
1f1baa5b8edac74eb4eaa329f14a0361	2569	17	4	0	0	0
1f1baa5b8edac74eb4eaa329f14a0361	2542	17	3	0	0	0
1f1baa5b8edac74eb4eaa329f14a0361	2501	15	1	3	0	0
1f1baa5b8edac74eb4eaa329f14a0361	2590	14	1	0	0	0
1f1baa5b8edac74eb4eaa329f14a0361	2480	13	1	0	0	0
1f1baa5b8edac74eb4eaa329f14a0361	2536	12	1	0	0	0
1f1baa5b8edac74eb4eaa329f14a0361	2525	12	1	0	0	0
1f1baa5b8edac74eb4eaa329f14a0361	2543	12	1	0	0	0
1f1baa5b8edac74eb4eaa329f14a0361	2595	12	1	0	0	0
1f1baa5b8edac74eb4eaa329f14a0361	2583	12	0	0	0	0
1f1baa5b8edac74eb4eaa329f14a0361	2572	11	1	0	0	0
1f1baa5b8edac74eb4eaa329f14a0361	2481	11	1	0	0	0
1f1baa5b8edac74eb4eaa329f14a0361	2561	10	0	0	0	0
1f1baa5b8edac74eb4eaa329f14a0361	2530	10	1	0	0	0
1f1baa5b8edac74eb4eaa329f14a0361	2558	9	2	0	0	0
1f1baa5b8edac74eb4eaa329f14a0361	2526	7	0	0	0	0
1f1baa5b8edac74eb4eaa329f14a0361	2564	7	0	0	0	0
1f1baa5b8edac74eb4eaa329f14a0361	2596	7	2	0	0	0
1f1baa5b8edac74eb4eaa329f14a0361	3102	5	0	0	0	0
1f1baa5b8edac74eb4eaa329f14a0361	2528	5	0	3	0	0
1f1baa5b8edac74eb4eaa329f14a0361	2531	5	1	0	0	0
1f1baa5b8edac74eb4eaa329f14a0361	2515	4	0	0	0	0
1f1baa5b8edac74eb4eaa329f14a0361	2502	4	1	0	0	0
1f1baa5b8edac74eb4eaa329f14a0361	2490	3	0	0	0	0
1f1baa5b8edac74eb4eaa329f14a0361	2510	2	0	0	0	0
1f1baa5b8edac74eb4eaa329f14a0361	2505	2	0	0	0	0
3fab5890d8113d0b5a4178201dc842ad	2493	23	2	0	0	0
3fab5890d8113d0b5a4178201dc842ad	2511	20	3	0	0	0
3fab5890d8113d0b5a4178201dc842ad	2504	20	0	0	0	0
3fab5890d8113d0b5a4178201dc842ad	2598	19	2	0	0	0
3fab5890d8113d0b5a4178201dc842ad	2550	19	1	0	0	0
3fab5890d8113d0b5a4178201dc842ad	2489	18	0	0	0	0
3fab5890d8113d0b5a4178201dc842ad	2546	17	1	0	0	0
3fab5890d8113d0b5a4178201dc842ad	2539	16	1	0	0	0
3fab5890d8113d0b5a4178201dc842ad	2516	16	1	0	0	0
3fab5890d8113d0b5a4178201dc842ad	2556	16	1	0	0	0
3fab5890d8113d0b5a4178201dc842ad	2585	15	0	0	0	0
3fab5890d8113d0b5a4178201dc842ad	2492	14	0	0	0	0
3fab5890d8113d0b5a4178201dc842ad	2568	14	0	0	0	0
3fab5890d8113d0b5a4178201dc842ad	2560	13	3	0	0	0
3fab5890d8113d0b5a4178201dc842ad	2549	13	1	0	0	0
3fab5890d8113d0b5a4178201dc842ad	2521	13	1	0	0	0
3fab5890d8113d0b5a4178201dc842ad	2588	11	1	0	0	0
3fab5890d8113d0b5a4178201dc842ad	2517	11	0	0	0	0
3fab5890d8113d0b5a4178201dc842ad	2503	11	2	0	0	0
3fab5890d8113d0b5a4178201dc842ad	2563	11	0	0	0	0
3fab5890d8113d0b5a4178201dc842ad	2495	10	2	0	0	0
3fab5890d8113d0b5a4178201dc842ad	2535	10	1	0	0	0
3fab5890d8113d0b5a4178201dc842ad	2500	10	2	0	0	0
3fab5890d8113d0b5a4178201dc842ad	2574	10	0	0	0	0
3fab5890d8113d0b5a4178201dc842ad	2533	9	1	0	0	0
3fab5890d8113d0b5a4178201dc842ad	2512	9	0	0	0	0
3fab5890d8113d0b5a4178201dc842ad	3102	9	0	0	0	0
3fab5890d8113d0b5a4178201dc842ad	2513	9	1	0	0	0
3fab5890d8113d0b5a4178201dc842ad	2597	8	0	0	0	0
3fab5890d8113d0b5a4178201dc842ad	2582	7	0	0	0	0
3fab5890d8113d0b5a4178201dc842ad	2559	7	0	0	0	0
3fab5890d8113d0b5a4178201dc842ad	2594	7	0	0	0	0
3fab5890d8113d0b5a4178201dc842ad	2548	7	1	0	0	0
3fab5890d8113d0b5a4178201dc842ad	2520	7	0	0	0	0
3fab5890d8113d0b5a4178201dc842ad	2499	6	1	0	0	0
3fab5890d8113d0b5a4178201dc842ad	2484	6	0	0	0	0
3fab5890d8113d0b5a4178201dc842ad	2537	5	0	1	0	0
3fab5890d8113d0b5a4178201dc842ad	2587	3	0	0	0	0
3fab5890d8113d0b5a4178201dc842ad	2566	3	0	0	0	0
daaaf13651380465fc284db6940d8478	2991	35	6	0	0	0
daaaf13651380465fc284db6940d8478	3069	22	3	0	1	0
daaaf13651380465fc284db6940d8478	3013	17	1	0	0	0
