contents_id	contents_name	operation_name	rows	uniq_users
1f1baa5b8edac74eb4eaa329f14a0361	前期中間模範	OPEN	182	37
1f1baa5b8edac74eb4eaa329f14a0361	前期中間模範	ZOOM_IN	104	17
1f1baa5b8edac74eb4eaa329f14a0361	前期中間模範	NEXT	92	32
1f1baa5b8edac74eb4eaa329f14a0361	前期中間模範	CLOSE	40	22
1f1baa5b8edac74eb4eaa329f14a0361	前期中間模範	PREV	40	23
1f1baa5b8edac74eb4eaa329f14a0361	前期中間模範	ZOOM_OUT	10	6
1f1baa5b8edac74eb4eaa329f14a0361	前期中間模範	PAGE_JUMP	6	2
1f1baa5b8edac74eb4eaa329f14a0361	前期中間模範	CLOSE_QUIZ	1	1
1f1baa5b8edac74eb4eaa329f14a0361	前期中間模範	REGISTER_CONTENTS	1	1
1f1baa5b8edac74eb4eaa329f14a0361	前期中間模範	ZOOM_FIT	1	1
1f1baa5b8edac74eb4eaa329f14a0361	前期中間模範	OPEN_QUIZ	1	1
3fab5890d8113d0b5a4178201dc842ad	前期中間模範	OPEN	188	39
3fab5890d8113d0b5a4178201dc842ad	前期中間模範	NEXT	97	38
3fab5890d8113d0b5a4178201dc842ad	前期中間模範	ZOOM_IN	84	18
3fab5890d8113d0b5a4178201dc842ad	前期中間模範	CLOSE	36	22
3fab5890d8113d0b5a4178201dc842ad	前期中間模範	PREV	29	20
3fab5890d8113d0b5a4178201dc842ad	前期中間模範	ZOOM_OUT	13	5
3fab5890d8113d0b5a4178201dc842ad	前期中間模範	DELETE_BOOKMARK	1	1
3fab5890d8113d0b5a4178201dc842ad	前期中間模範	ADD_BOOKMARK	1	1
3fab5890d8113d0b5a4178201dc842ad	前期中間模範	PAGE_JUMP	1	1
3fab5890d8113d0b5a4178201dc842ad	前期中間模範	ZOOM_FIT	1	1
3fab5890d8113d0b5a4178201dc842ad	前期中間模範	REGISTER_CONTENTS	1	1
daaaf13651380465fc284db6940d8478	R7 2年夏明けテスト解答用紙0826模範	OPEN	155	39
daaaf13651380465fc284db6940d8478	R7 2年夏明けテスト解答用紙0826模範	ZOOM_IN	65	13
daaaf13651380465fc284db6940d8478	R7 2年夏明けテスト解答用紙0826模範	NEXT	63	35
daaaf13651380465fc284db6940d8478	R7 2年夏明けテスト解答用紙0826模範	PREV	39	23
