ym,score_rows,avg_quiz
2019-04,592,78.51
2019-09,700,71.29
2020-06,574,74.00
2020-09,678,70.36
2021-04,707,75.64
2021-10,690,71.19
2022-04,708,72.78
2023-02,1771,57.91
2023-03,1059,62.93
2023-04,717,75.34
2023-05,350,67.92
2023-06,3577,62.43
2023-07,350,60.15
2023-08,352,60.30
2023-09,1944,59.40
2023-10,2342,64.53
2023-11,1722,64.66
2023-12,1571,59.70
2024-01,391,63.15
2024-02,2269,59.67
2024-03,1063,58.16
2024-04,1077,76.93
2024-05,593,68.67
2024-06,3919,61.10
2024-07,355,64.08
2024-08,354,68.06
2024-09,3061,61.05
2024-10,1728,63.03
2024-11,1564,61.95
2024-12,2824,60.05
2025-01,716,59.46
2025-02,1699,53.87
2025-03,531,56.36
