course_id,course_name,score_rows,students,tests,avg_quiz
629,2024年度高校1年[英語]IECI,1374,280,5,60.56
472,2023年度高校1年[英語]IEC1,1102,283,4,62.67
521,2023年度高校1年[英語]EEC1,1100,285,4,67.71
638,2024年度高校2年[英語]IECII,1074,275,4,58.31
639,2024年度高校2年[英語]EECII,1070,275,4,63.96
524,2023年度高校2年[英語]EECⅡ,1064,270,4,59.03
525,2023年度高校2年[英語]IECⅡ,1064,270,4,57.95
475,2023年度中学1年C組[数学],800,40,20,68.85
473,2023年度中学1年A組[数学],792,40,20,71.29
474,2023年度中学1年B組[数学],790,40,20,67.56
651,2024年度高校3年[英語]EECIII,788,265,3,63.42
650,2024年度高校3年[英語]IECIII,786,267,3,52.17
479,2023年度中学2年C組[数学],760,40,19,65.11
480,2023年度中学2年B組[数学],741,39,19,64.99
481,2023年度中学2年A組[数学],741,40,19,61.34
594,2024年度中学1年B組[数学],680,40,17,65.49
595,2024年度中学1年C組[数学],679,40,17,64.52
593,2024年度中学1年A組[数学],668,40,17,63.84
606,2024年度中学2年B組[数学],637,40,16,63.18
607,2024年度中学2年C組[数学],633,40,16,66.49
605,2024年度中学2年A組[数学],613,40,16,64.07
618,2024年度中学3年B組[数学],558,40,14,64.39
617,2024年度中学3年A組[数学],556,40,14,63.92
630,2024年度高校1年[英語]EECI,552,279,2,63.81
619,2024年度中学3年C組[数学],548,40,14,63.73
388,2022年度数学[高1],536,270,2,56.94
391,2022年度数学[高2],527,265,2,65.29
487,2023年度中学3年A組[数学],432,40,11,60.13
485,2023年度中学3年C組[数学],420,40,11,60.06
486,2023年度中学3年B組[数学],405,38,11,63.70
649,2024年度高校2年5-7組[数学]文系発展(4月1日-),381,50,8,68.21
453,2023年度高校1年3-4組[数学]外進(前期),335,42,8,56.90
451,2023年度高校1年1-2組[数学]外進(前期),329,42,8,55.64
634,2024年度高校1年3-4組[数学]外進,328,41,8,53.63
632,2024年度高校1年1-2組[数学]外進,326,41,8,58.09
637,2024年度高校1年5-7組[数学]外進2,321,41,8,54.02
636,2024年度高校1年5-7組[数学]外進1,321,41,8,54.17
454,2023年度高校1年5-7組[数学]内進(前期),317,40,8,58.17
633,2024年度高校1年3-4組[数学]内進,311,39,8,55.00
452,2023年度高校1年3-4組[数学]内進(前期),310,40,8,54.42
631,2024年度高校1年1-2組[数学]内進,309,39,8,61.45
456,2023年度高校1年5-7組[数学]外進2(前期),309,39,8,59.27
450,2023年度高校1年1-2組[数学]内進(前期),307,40,8,61.97
455,2023年度高校1年5-7組[数学]外進1(前期),307,40,8,55.25
644,2024年度高校2年1-2組[数学]理系発展(4月1日-),296,38,8,65.16
645,2024年度高校2年3-4組[数学]理系発展(4月1日-),294,38,8,68.26
635,2024年度高校1年5-7組[数学]内進,291,38,8,53.69
647,2024年度高校2年5-7組[数学]文系標準1(4月1日-),276,35,8,49.37
387,2022年度EEC1[高1],268,268,1,51.35
386,2022年度IEC1[高1],267,267,1,58.71
